Date,CPI,Inflation Rate %
2018-01-01,247.867,0.45346899748657243
2018-02-01,248.991,0.45346899748657243
2018-03-01,249.554,0.2261125904149175
2018-04-01,250.546,0.3975091563348965
2018-05-01,251.588,0.4158916925434797
2018-06-01,251.989,0.1593875701543901
2018-07-01,252.006,0.006746326228523891
2018-08-01,252.146,0.055554232835719475
2018-09-01,252.439,0.11620251758901468
2018-10-01,252.885,0.1766763455725906
2018-11-01,252.038,-0.3349348518100981
2018-12-01,251.233,-0.31939628151310684
2019-01-01,251.712,0.19065966652469513
2019-02-01,252.776,0.4227053140096748
2019-03-01,254.202,0.5641358356806014
2019-04-01,255.548,0.5295001612890538
2019-05-01,256.092,0.21287585893843275
2019-06-01,256.143,0.019914718148150712
2019-07-01,256.571,0.16709416224534035
2019-08-01,256.558,-0.005066823608290694
2019-09-01,256.759,0.07834485769300237
2019-10-01,257.346,0.22861905522297832
2019-11-01,257.208,-0.053624303466914824
2019-12-01,256.974,-0.09097695250538385
2020-01-01,257.971,0.3879769937814803
2020-02-01,258.678,0.2740618131495287
2020-03-01,258.115,-0.21764510317846542
2020-04-01,256.389,-0.6686941866997254
2020-05-01,256.394,0.0019501616683959
2020-06-01,257.797,0.5472046927775365
2020-07-01,259.101,0.5058243501669724
2020-08-01,259.918,0.31532105240814623
2020-09-01,260.28,0.13927469432666317
2020-10-01,260.388,0.04149377593360981
2020-11-01,260.229,-0.061062721784410634
2020-12-01,260.474,0.09414784670425114
2021-01-01,261.582,0.42537834870275404
2021-02-01,263.014,0.5474382793923205
2021-03-01,264.877,0.7083273133749568
2021-04-01,267.054,0.8218909154060094
2021-05-01,269.195,0.8017105154762838
2021-06-01,271.696,0.929066290235725
2021-07-01,273.003,0.4810523526293853
2021-08-01,273.567,0.206591136361145
2021-09-01,274.31,0.2715970859058281
2021-10-01,276.589,0.8308118552003085
2021-11-01,277.948,0.4913427504347645
2021-12-01,278.802,0.3072517161483601
2022-01-01,281.148,0.8414573783545265
2022-02-01,283.716,0.9133979256476854
2022-03-01,287.504,1.3351379548562692
2022-04-01,289.109,0.5582531025655202
2022-05-01,292.296,1.1023523999598828
2022-06-01,296.311,1.3736075758819855
2022-07-01,296.276,-0.011811913833770227
2022-08-01,296.171,-0.03543992763505033
2022-09-01,296.808,0.21507845130008807
2022-10-01,298.012,0.4056494434112379
2022-11-01,297.711,-0.10100264418881899
2022-12-01,296.797,-0.30700914645410693
2023-01-01,299.17,0.7995363834540026
2023-02-01,300.84,0.5582110505732318
2023-03-01,301.836,0.33107299561230263
2023-04-01,303.363,0.5059038683258521
2023-05-01,304.127,0.25184350102023245
2023-06-01,305.109,0.3228914236486524
2023-07-01,305.691,0.19075150192227053
2023-08-01,307.026,0.4367155068353501
2023-09-01,307.789,0.24851315523766182
2023-10-01,307.671,-0.03833795229848391
2023-11-01,307.051,-0.20151395484137025
2023-12-01,306.746,-0.09933203278934544
2024-01-01,308.417,0.5447503797930464
2024-02-01,310.326,0.6189671775550742
2024-03-01,312.332,0.6464169937420605
2024-04-01,313.548,0.3893293034335388
2024-05-01,314.069,0.1661627565795465
2024-06-01,314.175,0.03375054526233434
2024-07-01,314.54,0.11617728972705965
2024-08-01,314.796,0.08138869460163622
2024-09-01,315.301,0.16042135224081377
2024-10-01,315.664,0.11512808395786056
2024-11-01,315.493,-0.05417152415225779
2024-12-01,315.605,0.035499995245547034
2025-01-01,317.671,0.6546157380269646
2025-02-01,319.082,0.4441702264292413
2025-03-01,319.799,0.22470712857509678
